enfoque,costo_total,tiempo_s,demanda_cubierta_pct,porcentaje_renovables_pct,pv_no_utilizada_mwh
MILP,1193482.5,,100.0,42.60525453097925,0.0
PDDL,1089000.0,,0.0,44.776119402985074,0.0
