hour,PV_gen_MW,Hydro_gen_MW,Thermal_gen_MW,Demand_MW
0,0.0,300.0,400.0,700.0
1,0.0,400.0,280.0,680.0
2,0.0,500.0,160.0,660.0
3,0.0,600.0,50.0,650.0
4,0.0,600.0,40.0,640.0
5,0.0,600.0,50.0,650.0
6,0.0,600.0,80.0,680.0
7,8.57000000000005,600.0,111.43,720.0
8,17.14,600.0,162.86,780.0
9,25.71,600.0,194.29,820.0
10,34.29,600.0,205.71,840.0
11,42.86,600.0,207.14,850.0
12,51.4299999999999,600.0,178.57,830.0
13,60.0,600.0,160.0,820.0
14,50.0,600.0,160.0,810.0
15,40.0,600.0,180.0,820.0
16,30.0,600.0,230.0,860.0
17,20.0,600.0,280.0,900.0
18,10.0,600.0,330.0,940.0
19,0.0,600.0,360.0,960.0
20,0.0,550.0,380.0,930.0
21,0.0,450.0,430.0,880.0
22,0.0,350.0,470.0,820.0
23,0.0,250.0,510.0,760.0
