hora,milp_gen_total,pddl_gen_total,demanda,diff_gen_total
0,700.0,700,700.0,0.0
1,680.0,630,680.0,-50.0
2,660.0,630,660.0,-30.0
3,650.0,630,650.0,-20.0
4,640.0,630,640.0,-10.0
5,650.0,630,650.0,-20.0
6,680.0,630,680.0,-50.0
7,720.0,700,720.0,-20.0
8,780.0,770,780.0,-10.0
9,820.0,770,820.0,-50.0
10,840.0,840,840.0,0.0
11,850.0,840,850.0,-10.0
12,830.0,770,830.0,-60.0
13,820.0,770,820.0,-50.0
14,810.0,770,810.0,-40.0
15,820.0,770,820.0,-50.0
16,860.0,840,860.0,-20.0
17,900.0,840,900.0,-60.0
18,940.0,910,940.0,-30.0
19,960.0,910,960.0,-50.0
20,930.0,910,930.0,-20.0
21,880.0,840,880.0,-40.0
22,820.0,770,820.0,-50.0
23,760.0,700,760.0,-60.0
