hour,PV_gen_MW,Hydro_gen_MW,Thermal_gen_MW,Demand_MW
0,0.0,450.0,200.0,650.0
1,0.0,450.0,170.0,620.0
2,0.0,450.0,150.0,600.0
3,0.0,450.0,140.0,590.0
4,0.0,450.0,130.0,580.0
5,0.0,450.0,150.0,600.0
6,20.0,450.0,160.0,630.0
7,70.0,450.0,140.0,660.0
8,150.0,450.0,80.0,680.0
9,230.0,450.0,10.0,690.0
10,280.0,420.0,0.0,700.0
11,295.0,405.0,0.0,700.0
12,300.0,390.0,0.0,690.0
13,290.0,390.0,0.0,680.0
14,260.0,410.0,0.0,670.0
15,210.0,450.0,20.0,680.0
16,150.0,450.0,100.0,700.0
17,80.0,450.0,210.0,740.0
18,20.0,450.0,330.0,800.0
19,0.0,450.0,400.0,850.0
20,0.0,450.0,370.0,820.0
21,0.0,450.0,330.0,780.0
22,0.0,450.0,270.0,720.0
23,0.0,450.0,220.0,670.0
