hora,milp_gen_total,pddl_gen_total,demanda,diff_gen_total
0,650.0,650,650.0,0.0
1,620.0,620,620.0,0.0
2,600.0,600,600.0,0.0
3,590.0,590,590.0,0.0
4,580.0,580,580.0,0.0
5,600.0,600,600.0,0.0
6,630.0,630,630.0,0.0
7,660.0,660,660.0,0.0
8,680.0,680,680.0,0.0
9,690.0,690,690.0,0.0
10,700.0,700,700.0,0.0
11,700.0,700,700.0,0.0
12,690.0,690,690.0,0.0
13,680.0,680,680.0,0.0
14,670.0,670,670.0,0.0
15,680.0,680,680.0,0.0
16,700.0,700,700.0,0.0
17,740.0,740,740.0,0.0
18,800.0,800,800.0,0.0
19,850.0,850,850.0,0.0
20,820.0,820,820.0,0.0
21,780.0,780,780.0,0.0
22,720.0,720,720.0,0.0
23,670.0,670,670.0,0.0
