enfoque,costo_total,tiempo_s,demanda_cubierta_pct,porcentaje_renovables_pct,pv_no_utilizada_mwh
MILP,649225.0,,100.0,69.02631578947368,0.0
PDDL,649650.0,,100.0,69.0,0.0
