hour,pv_mwh,hidro_mwh,termica_mwh
0,0.0,0.0,250.0
1,0.0,0.0,230.0
2,0.0,0.0,210.0
3,0.0,0.0,200.0
4,0.0,0.0,190.0
5,0.0,0.0,200.0
6,20.0,0.0,210.0
7,60.0,0.0,210.0
8,140.0,0.0,190.0
9,220.0,0.0,150.0
10,270.0,0.0,120.0
11,290.0,0.0,110.0
12,300.0,0.0,80.0
13,290.0,0.0,80.0
14,260.0,0.0,100.0
15,210.0,0.0,160.0
16,150.0,0.0,260.0
17,80.0,0.0,370.0
18,20.0,0.0,470.0
19,0.0,0.0,510.0
20,0.0,0.0,480.0
21,0.0,0.0,430.0
22,0.0,0.0,370.0
23,0.0,0.0,0.0
